index,totalseconds,gender,bornyear,edu,anchor,Q1,Q1_1,Q1_2,Q1_3,Q1_4,Q2,Q2_1,Q2_2,Q2_3,Q3,Q3_1,Q3_2,Q3_3,Q3_4,Q4,Q4_1,Q4_2,Q4_3,Q4_4,Q5,Q5_1,Q5_2,Q5_3,Q5_4,Q6,Q6_1,Q6_2,Q6_3,Q6_4,wrong,wrong2
73,624,0,1990,5,1,0,1,2,1,2,1,2,2,1,0,2,2,1,-2,0,1,1,2,1,1,2,1,1,2,0,1,2,2,2, ,0
75,620,0,1988,6,1,1,1,2,1,0,0,1,2,1,1,1,2,1,-2,1,1,2,1,1,1,1,2,0,1,1,1,2,1,2, ,0
76,355,1,1987,6,1,1,2,1,2,1,1,2,2,1,1,1,2,1,-2,1,2,1,2,1,0,1,1,2,1,1,2,1,1,2, ,0
79,244,0,1993,5,1,0,1,1,0,1,0,1,1,2,1,1,2,0,-2,1,2,1,0,1,0,1,2,0,0,0,2,1,2,1, ,0
83,227,1,2001,5,1,0,2,2,0,-1,1,2,1,-2,0,2,2,1,-2,0,2,2,2,2,0,1,2,-1,1,1,2,2,2,2, ,0
84,298,0,1984,5,1,0,1,0,1,1,0,2,1,2,1,1,2,1,-2,1,2,1,0,1,0,0,0,0,2,0,2,2,2,2, ,0
87,266,1,1992,5,1,1,0,2,1,0,0,2,1,0,0,2,2,1,-2,1,2,0,1,1,0,0,1,0,1,1,2,2,1,1, ,0
88,224,1,1992,5,1,1,0,1,0,0,0,1,1,0,1,1,2,1,-2,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1, ,0
91,380,0,1994,5,1,0,2,2,0,1,1,1,2,0,0,1,2,2,-2,1,2,1,1,2,1,0,2,-1,1,1,2,0,2,2, ,0
93,451,0,2002,3,1,1,1,0,2,2,1,0,0,1,0,1,1,1,-2,0,2,0,1,1,1,0,2,2,1,0,2,2,2,2, ,0
97,267,0,1980,5,1,0,2,1,0,1,0,1,2,0,1,1,2,2,-2,1,2,1,0,1,1,1,0,1,1,1,2,2,1,2, ,0
100,379,1,1987,5,1,1,1,1,1,0,1,2,1,0,0,1,2,1,-2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1, ,0
101,710,1,1982,5,1,0,1,1,1,0,1,2,1,0,1,1,2,0,-2,1,1,0,1,1,1,0,1,0,0,1,2,1,1,1, ,0
102,576,1,1981,5,1,1,1,1,2,-2,1,2,1,0,1,2,1,2,-2,1,2,1,2,1,0,1,2,1,2,0,2,2,1,2, ,0
103,4963,1,1992,5,1,0,1,0,-1,-2,0,1,0,-2,1,1,1,0,-2,0,0,0,1,1,0,0,1,-1,-1,0,1,0,0,1, ,0
